shift_id,note,category
S100306,Client requested deep clean before the audit - approved,client_requested
S105701,"handover late agn, keys missing !",late_handover
S103796,no relief. stayed. someone must please sort the roster,absence_cover
S106442,nothing to report,routine
S108776,stood in for Ndlovu,routine
S104245,"oorhandiging was laat, gewag vir sleutels",late_handover
S105429,"generator fault, stayed to monitor",equipment_failure
S104642,"uDlamini akezanga namhlanje, ngimele yena",absence_cover
S104321,quiet shift,routine
S102395,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S100719,no relief. stayed. someone must pls sort the roster,absence_cover
S100928,"handover late agn, keys missing",late_handover
S108001,stood in for zuul,routine
S107901,"late handover, waiting on paperwork",late_handover
S102369,Next shift guard did not pitch. Had to cover.,absence_cover
S108833,"buffer machine kaput, did the floor by hand..",equipment_failure
S107059,"worked through, Dlamini at the clinic..",absence_cover
S101604,"client wanted etra man on the gate for the event, approved..",client_requested
S107331,"covering Wyk post, no show no call",absence_cover
S103251,all quiet,routine
S102109,all good,routine
S103776,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S104996,"additional cover requested by site manager, signed off",client_requested
S107964,"covering Mavuso post, no show no call !",absence_cover
S107361,"control room says relief coming, nobody came",absence_cover
S106102,fine,blank
S104779,double shift bc relief never pitched,absence_cover
S107267,no issues on site,routine
S109331,n/a,blank
S100873,as per normal,routine
S108180,"generator fault, stayed to monitor",equipment_failure
S103781,"additional cover requested by site manager, signed off..",client_requested
S105156,double shift because relief never pitched,absence_cover
S100630,"Dlamini didnt come in, covered the post",absence_cover
S101058,"took Fourie shift as well, 2 poosts 1 guard",routine
S108709,all good,routine
S102622,client signed for the extra hours but real reason is relief no show again,absence_cover
S105088,"Maluleke absent, took her rounds as wlel",absence_cover
S102662,Client requested deeep clean before the audit - aproved..,client_requested
S101209,"handover late again, keys missing",late_handover
S107717,"Sibiya didnt come in, covered the post",absence_cover
S104651,"double duty today, Ndovu on family responsibility leave",absence_cover
S100579,Centre mgr requested additional coer for stocktake,client_requested
S106967,"machine down agn, took twice as long",equipment_failure
S102050,"gedk vir Sithole, siek gemeld",absence_cover
S105339,Covered for Mahlangu agn - 3rd time this month,absence_cover
S105952,"gedek vir Sibiya, siek gemeld",absence_cover
S105834,"generator fault, stayed to monitor",equipment_failure
S104442,"client wanted extra man on the gate for the event, approved",client_requested
S104531,"gedek vir Motaung, siek geemld",absence_cover
S100817,all good,routine
S102880,"scrubber broke down, had to do the floor manually",equipment_failure
S108544,Covered for Zulu again - 3rd time this month,absence_cover
S108079,"late handover, waiting on paperwork",late_handover
S107287,"buffer machine kaput, did the floor by hand",equipment_failure
S109328,extra hrs approved by client for the event setup,client_requested
S102181,Covered for Naidoo again - 3rd tie this month,absence_cover
S105471,all good,routine
S106973,"client asked us to stay for the delivery, ok'd by centre mgmt..",client_requested
S100088,"coering Blaoyi post, no show no call..",absence_cover
S105483,centre mgr requested additional covre for stocktake,client_requested
S108451,"took Botha shift as well, 2 posts 1 guard",absence_cover
S100501,"generator fault, styed to mointor",equipment_failure
S102158,"uTshabalala akezanga namhlanje, ngimele yena",absence_cover
S107206,nothing to report,routine
S108767,Client asked for extra patrol after the break-in Tuesday..,client_requested
S103619,"extra patrol per client emil, approved by office",client_requested
S105340,relief no show AGAIN,absence_cover
S106430,fine,blank
S100294,"late handover, waiting on paperwork",late_handover
S107595,as per normal,routine
S108470,"next shift akafikanga, ngihlale kuze kube 0600",absence_cover
S109238,,blank
S100975,"late handover, waiting on paperwork",late_handover
S108288,"still on site, relief was suppose to come 6am",absence_cover
S104068,"client wantd extra man on the gate for the event, approved",client_requested
S103397,Covering for Khumalo - booked off sick,absence_cover
S104116,"uMaluleke akezanga namhlanje, ngimele yena",absence_cover
S103456,"extra patrol per client email, approevd by office",client_requested
S106546,"khumalo didnt come in, covered the post",absence_cover
S100717,"next shift akafikanga, ngihlale kuze kube 6am",absence_cover
S106042,client requested deep clean before the audit - approved,client_requested
S104526,n/a,blank
S108657,client asked for extra patrol after the break--in tuesday,client_requested
S100595,client signed for the extra hours but real reason is relief no show agn..,absence_cover
S107088,"additional cover requested by site mgr, signed off",client_requested
S107885,extra hours approved by client for the event setup,client_requested
S107627,"gnerator fault, stayed to monitor..",equipment_failure
S106573,"Naidoo didt come in, covered the post",absence_cover
S107746,"still on site, relief was suppose to come 06h00",absence_cover
S107218,ntr,blank
S106989,"buffer machine kaput, did the floor by hand",equipment_failure
S100301,"still on site, relief was suppose to come 06:00",absence_cover
S104331,"molefe absent, took her rounds as well",absence_cover
S102253,all quiet,routine
S107504,ok,blank
S100384,"control room says relief coming, nobody came",absence_cover
S106492,"requested by centre management for load in, signed off",client_requested
S105436,"machine down again, took twice as long",equipment_failure
S102650,all quiet,routine
S103589,relief no show AGAIN,absence_cover
S106553,Next shift guard did not pitch. Had to cover.,absence_cover
S107376,"next shift akafikanga, ngihlale kuze kube 6 !",absence_cover
S105329,double shift because relief never picthed !,absence_cover
S109293,"waited 45 min for handover, OB book not signed",late_handover
S106233,Mokoena off sick. again. covered.,absence_cover
S106536,"double duty today, Sithole on family responsibility leave",absence_cover
S109261,"handover late agn, keys missing",late_handover
S103809,"waited for relief, nobody caame through",late_handover
S105550,extra hrs apprvoed by clietn for the event setp,client_requested
S102179,"waited 40 min for handover, OB book not signed",late_handover
S102377,"late handover, waiting on paperwork",late_handover
S105071,"no replacement sent, ngicela sort this out",absence_cover
S105155,sharp,blank
S106680,Client asked for extra patrool after the break-in Tuesday,client_requested
S107580,"geddek vir wyk, siek gemeld",absence_cover
S102879,"waited 25 min for handover, OB book not signed",late_handover
S101725,ok,blank
S105880,"late handover, waiting on paperwork",late_handover
S106235,"gedek vir Tshabalala, siek gemeld",absence_cover
S106457,"USIBIYA AKEZANA NAMHLANJE, NGIMELE YENA..",absence_cover
S106046,"extra patrol per client email, approved by office",client_requested
S107572,-,blank
S106375,"still on site, relieef was suppose to come six",absence_cover
S103012,Centre mgr requested additional cover for stocktae,client_requested
S109078,ok,blank
S101275,.,blank
S103735,akukho lutho,routine
S108835,"client wanted extra man on the gate for the event, approved",client_requested
S107894,"relief only arrived 0600, stayed until then",absence_cover
S108026,"srubber broke down, had to do the floor manually",equipment_failure
S108082,quiet shift,routine
S108285,"took Zulu shift as well, 2 posts 1 guard",absence_cover
S101069,,blank
S107875,"oorhandiging was laat, gewag vir sleutels",late_handover
S103391,"relief never arrived, stayed on till six",absence_cover
S101905,.,blank
S103424,Client requested deep clean before the audit - approved,client_requested
S103988,"buffeer machine kaput, did the floor by hand",equipment_failure
S105735,"worked through, sibiya at the clinic",absence_cover
S102953,"gate motoor failed, manned it by hadn till 6",equipment_failure
S106580,"umolefe akezanga namhlanje, ngimele yena",absence_cover
S108038,"Ndlovu absent, took her rounds as well",absence_cover
S103338,"late hanodver, waiting on paperwork",late_handover
S106132,Covering for Wyk - booked off sick,absence_cover
S107079,Client asked for extra patrol after the break-in Tuesday,client_requested
S101822,"uSibiya akezanga namhlanje, ngimele yena",absence_cover
S105051,"handover late again, keys missing",late_handover
S103751,"still on site, relief was suppose to come six",absence_cover
S108478,Next shift guard did not pitch. Had to cover.,absence_cover
S106097,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S104397,nothing to report,routine
S108061,shift handover delayed by 30 min,late_handover
S102528,"generator fault, stayed to monitor !",equipment_failure
S100587,Nkosi off sick. agn. coveredd.,absence_cover
S109297,"uBotha akezanga namhlanjje, ngimele yena",absence_cover
S104857,"client says stay till 06h00, dont know if office approved",client_requested
S101939,"waited 50 min for handover, OB book not signed",late_handover
S104803,"took Mokoena shift as well, 2 posts 1 guard",absence_cover
S103509,"double duty today, Baloyi on family responsibility leave",absence_cover
S104449,sharp,blank
S100032,"control room says relef coming, nobody came",absence_cover
S101590,"control room says relief coming, nobody came",absence_cover
S104355,"additional cover requested by site mgr, signed off",client_requested
S103661,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S102838,"client asked us to stay for the delivery, ok'd by centre mgmt..",client_requested
S106807,CLIENT ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY,client_requested
S105053,klient het ekstra ure gevra vir stocktake !,client_requested
S102453,ntr,blank
S101640,all fine,blank
S105352,"client says stay till six, dont know if office approved",client_requested
S106225,"GENERATOR FAULT, STAYED TO MONITOR..",equipment_failure
S104164,"scrubber broke don, had to do the floor manually",equipment_failure
S100309,Jacobs off sick. ag.n covered.,absence_cover
S103077,no relif. stayed. someone must please sort the roster,absence_cover
S102386,"took Mabaso shift as well, 2 posts 1 guard",absence_cover
S101769,"buffer machine kaput, did the floor by hand",equipment_failure
S104379,"uBotha akezanga namhlanje, ngimele yena",absence_cover
S108123,ntr,blank
S101704,"buffer machine kaput, did the floor by hand !",equipment_failure
S108837,no issues on site,routine
S103018,"next shift akafikanga, ngihlale kuzze kube 06h00",absence_cover
S106806,"Naidoo didnt come in, covered the post..",absence_cover
S106376,"took Nkosi shift as well, 2 posts 1 guard",absence_cover
S106252,"took Naidoo shift as well, 2 posts 1 guard",absence_cover
S103649,"uNaidoo akezanga namhlanje, ngimele yena",absence_cover
S107240,"extra patrol per client email, approved by ofice",client_requested
S108016,"client says stay till 06h00, dont know if office approved",client_requested
S104249,all quiet,routine
S106902,"client says stay till 0600, dont know if office approved",client_requested
S102656,"Ngcobo absent, took her rounds as well..",absence_cover
S109305,"Mokoena absent, took her rounds as well",absence_cover
S105537,"nkosi absent, took her rounds as well !",absence_cover
S102317,nothing to report,routine
S104575,no issues on site,routine
S103458,no relief. stayed. someone must please sort the roster !,absence_cover
S102929,"next shift akafikanga, ngihlale kuze kube 6",absence_cover
S101338,nothing to report,routine
S104868,niks om te rapporteer nie,routine
S107133,relief no show again..,absence_cover
S102570,"sill on site, relief was spupose to come 6am",absence_cover
S106476,"lift out of order, everything carried up stairs, took lng",routine
S100784,"worked through, ndlovu at the clinic..",absence_cover
S106925,"lift out of order, everything carried up stairs, took long",equipment_failure
S107886,shift handover delayed by 50 min,late_handover
S102295,"jacobs absent, took her rounds as well",absence_cover
S100775,quiet shift,routine
S103402,"machine down agn, took twice as long",equipment_failure
S105318,client signed for the extra hours but real reason is relief no show agn !,absence_cover
S101812,ntr,blank
S102723,"oorhandiging was laat, gewag vir sleutels",late_handover
S105460,"lift out of order, everything carried up stairs, took long",equipment_failure
S101597,"double duty today, maluleke on family responsibility leave..",absence_cover
S105342,"umthembu akezanga namhlanje, ngimele yena",absence_cover
S103470,shft handover dealyed by 25 min,late_handover
S103005,"took dlaminni shift as well, 2 posts 1 guard",routine
S107332,"gedek vir Hendricks, siek geemeld",absence_cover
S104121,client requested deep clean before the audt - approved,client_requested
S103105,fine,blank
S105346,"machien down agn, took twice as long",equipment_failure
S101120,Zulu off sick. agn. covered.,absence_cover
S107414,shift handovver delayed by 50 min,late_handover
S100713,Naidoo off sick. again. covered..,absence_cover
S106901,"took mthembu shift as well, 2 pots 1 guard",absence_cover
S100603,"waited for relief, nobody came through",late_handover
S107506,"took Wyk shift as well, 2 posts 1 guard",absence_cover
S105585,"scrubber broke dwn, had to do the floor mnually",equipment_failure
S104423,"DLAMINI DIDNT COME IN, COVERED THE POST",absence_cover
S104093,"client wanted extra man on the gate for the event, approved",client_requested
S109323,"gate motor failed, manned it by hand till 6..",equipment_failure
S103163,n/a,blank
S102367,"took Tshabalala shift as well, 2 posts 1 guadr",routine
S104076,no incidents,absence_cover
S101592,"additional cover requested by site mgr, signed off..",client_requested
S108943,niks om te rapporteer nie,routine
S108665,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S101471,"handover late agn, keys missing",late_handover
S108186,COVERED FOR NDLOVU AGAIN - 3RD TIME THIS MONTH,absence_cover
S102372,client signed for the extra hours but real reason is relief no show agn,absence_cover
S105629,"waited for relief, nobody came through",late_handover
S100238,extra hrs approved by client for the event setup,client_requested
S103418,extra hours approved by client for the event setup,client_requested
S108305,klient het ekstra ure gevra vir stocktake,client_requested
S102972,Next shift guard did not pitch. Had to cover.,absence_cover
S102449,centre mgr requested additional cover for stocktake..,client_requested
S104536,"COVERING DLAMINI POST, NO SHOW NO CALL",absence_cover
S108855,"requested by centre management for load in, signed off",client_requested
S106382,double shift bc relief never pitched,absence_cover
S104699,"waited 40 min for handover, ob book not signed",late_handover
S100284,"double duty today, Sithole on family responsibility leave..",absence_cover
S106896,Centre manager requested additional cover for stocktake,client_requested
S102287,extra hrs approved by client for the event setup,client_requested
S100470,"covering Mabaso post, no show no call..",absence_cover
S103051,"buffer machine kaput, did the floor by hand",equipment_failure
S101438,"handover late agn, keys missing",late_handover
S104956,-,blank
S102887,client signed for the extra hrs but real reason is relieef no show again,absence_cover
S105496,"relief never arrived, stayed on till 06h00 !",absence_cover
S107708,Covering for Ngcobo - booked off sick,absence_cover
S106406,"additional cover requested by site manager, signed off",client_requested
S101394,,blank
S108604,"relief only arrived six, stayed until then",absence_cover
S101046,"gate motor failed, manned it by hand till six",equipment_failure
S106395,"covering Mthembu postt, no show no call",absence_cover
S108405,"gate motor failed, manned it by hand till 06:00",equipment_failure
S102416,"generator fault, stayed to monitor",equipment_failure
S104541,"Adams didnt come in, covered the post",absence_cover
S108993,"next shift akafikanga, ngihlale kuze kube 6",absence_cover
S105190,as per normal,routine
S106985,"extra patrol per client email, approved by officce",client_requested
S103441,relief no show AGAIN,absence_cover
S101222,all good,routine
S100315,"no repacement sent, ngicela sort this out",absence_cover
S108612,double shift because reief never pitched,absence_cover
S104092,"handover late agn, keys missing",late_handover
S107148,all quiet,routine
S109322,Client asked for extra patrol after the break-in Tuesday,client_requested
S103819,"uJacobs akezanga namhlanje, ngimele yena",absence_cover
S101795,"machine down agn, took twice as long..",equipment_failure
S106892,"control room sasy relief coming, nobody came",absence_cover
S100706,"cllient says stay till 6, dont know if office approved",client_requested
S100443,all fine,blank
S108441,"bufefr machine kapu, did the floor by hand",equipment_failure
S102862,"no replacement sent, ngicela sort this out",absence_cover
S102601,Client asked for extra ptrol after the break-in Tuesday,client_requested
S107530,"uFourie akezanga namhlanje, ngimele yena",absence_cover
S101714,"relief only arrived 06:00, stayed until then..",absence_cover
S103445,no relief. stayed. someone must please sort the roster,absence_cover
S100171,Client asked for extra patrol after the break-in Tuesday..,client_requested
S105092,fine,blank
S105372,sharp,blank
S107478,centre manager requested additional cover for stocktake,client_requested
S103330,klent het ekstra ure gevra vir stocktake,client_requested
S103627,cliient signed for the extra hours but real reeason is relief no show agn,absence_cover
S104250,nothing to report,routine
S104099,n/a,blank
S107066,"requested by centre management for load in, signed off",client_requested
S103601,jacobs off sick. again. covered.,absence_cover
S105011,Client requested deep clean before the audit - approved,client_requested
S103634,ntr,blank
S103549,klient het ekstra ure gevra vir stocktake,client_requested
S106414,"waited 40 min for handover, OB book not signed",late_handover
S102937,stood in for Molefe,absence_cover
S106884,"GEDEK VIR HENDRICKS, SIEK GEMELD",absence_cover
S107859,,blank
S107514,"client wanted extra man on the gate for the event, approved",client_requested
S101947,"covering Mabaso post, no show no cll",absence_cover
S108374,"relief only arrived 06h00, stayyed until then",absence_cover
S104492,relief no show AGGAIN,absence_cover
S109335,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S108103,no incidents,absence_cover
S101011,"handover late again, keys missing",late_handover
S107101,quiet shift,routine
S100886,klient het ekstra ure gevra vir stocktake,client_requested
S103065,"waited 40 min for handover, OB book not signed",late_handover
S105811,"still on site, relief was suppose to come 0600",absence_cover
S100922,"client wanted extra man on the gate for the event, approved",client_requested
S107253,"machine down again, took twice as long",equipment_failure
S100473,"clint says stay till six, doont know if office approved",client_requested
S101512,"lift out of order, everything carried up stairs, took long",equipment_failure
S105973,"Naidoo abset, took her runds as weell",absence_cover
S109203,"Fourie absen, took her rounds as well",absence_cover
S102376,"extra patrol per client emaail, apprroved by office",client_requested
S104162,quiet shift,routine
S108378,"covering Jacobs post, no show no call",absence_cover
S102860,"relief never arrived, stayed on till six..",absence_cover
S108045,Covered for Sithole agn - 3rd time this month,absence_cover
S100416,"extra patrol per client email, approved by office",client_requested
S100553,"control room says relief coming, nobody came",absence_cover
S106578,centre manager requested additional cover for stocktake !,client_requested
S103436,"fourie didnt come in, covered the post",absence_cover
S106657,"waited 30 min for handover, OB book not signed..",late_handover
S100222,,blank
S102131,"client asked us to stay for the deliivery, ok'd by centre mgmt",client_requested
S102206,all good,routine
S107980,"control room sayys relief coming, noboddy came",absence_cover
S101027,ntr,blank
S102265,ok,blank
S105840,"no replacement sent, ngicela sort this out",absence_cover
S104369,"covering sibiya post, no show no call",absence_cover
S109245,no issues on site,routine
S106428,"waited for relief, nobody came through",late_handover
S106726,all quiet,routine
S104286,all good,routine
S109318,"control room says relief coming, nobody came",absence_cover
S107314,"gedek vir ngcobo, siek gemeld",absence_cover
S101268,"took Jacobs shift as wel, 2 posts 1 guard",absence_cover
S103801,sharp,blank
S102117,shift handover delayed by 25 min,late_handover
S103605,Ngcobo off sick. agn. covered.,absence_cover
S105649,Covered for Zulu again - 3rd time this month,absence_cover
S103805,"covering Zulu post, no sow no call",absence_cover
S104662,"worked through, Botha at the clinic",absence_cover
S108863,"double duty today, sithole on family responsibility leave",absence_cover
S108464,"next shift akafikanga, ngihlale kuze kue six",absence_cover
S103768,"client wanted extra man on the gate for the event, approved",client_requested
S106467,Client asked for extra patrol after the break-in Tuesday,client_requested
S107876,"relief never arrived, sayed on till 6am",absence_cover
S108453,"waited 30 min for handover, OB book not signed",late_handover
S106960,Client asked for extra patrol after the break-in Tuessday,client_requested
S107620,client signed for the extra hours but real reason is relief no show again,absence_cover
S106436,"control room says relief coming, nobody came",absence_cover
S100015,quiet shift,routine
S109351,"waited 45 min for handover, OB book not signed..",late_handover
S101865,"handover late again, keys missing",late_handover
S100343,"scrubber broke down, had to do the floor manually",equipment_failure
S102628,"lift out of orrder, everything carried up stairs, took long",equipment_failure
S105144,,blank
S106167,Client asked for extra patrol after the break-in Tuseday,client_requested
S109291,"COVERING MOLEFE POST, NO SHOW NO CALL",absence_cover
S107036,all quiet,routine
S101324,"requested by centre management for load in, signed off",client_requested
S102771,"no replacement sent, ngicela sort this out",absence_cover
S103828,"lift out of order, everything carried up stairs, took long",equipment_failure
S106963,double shift bc relief never pitched..,absence_cover
S100350,"took Maluleke shiift as well, 2 posts 1 guard..",absence_cover
S105251,no incidents,absence_cover
S109337,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S107030,akukho lutho,routine
S107531,"MACHINE DOWN AGN, TOOK TWICE AS LONG",equipment_failure
S103094,"uNaidoo akezanga namhlanje, ngimele yena",absence_cover
S108359,"gaate motor failed, manned it by hand till 06:00",equipment_failure
S107983,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested
S106270,ntr,blank
S104755,as per normal,routine
S108437,"relief never arrived, stayed on till 6",absence_cover
S108936,all good,routine
S104485,,blank
S107191,Mthembu off sicck. again. covered.,absence_cover
S107032,"oorhandiging was laat, gewag vir sleutels..",late_handover
S107658,Jacobs off sic. again. covered.,absence_cover
S102474,akukho lutho,routine
S108807,"gate motor failed, manned it by hand till 06:00",equipment_failure
S105639,as per normal,routine
S103380,Next shift guard did not pitch. Had to cover.,absence_cover
S100305,"uBaloyi akezanga namhlanje, ngimele yena..",absence_cover
S106612,sharp,blank
S104114,"relief never arrived, stayed on till 6am",absence_cover
S107752,"generator fault, stayed to monitor",equipment_failure
S103631,"WAITED FOR RELIEF, NOBODY CAME THROUGH",late_handover
S101281,akukho lutho,routine
S107724,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested
S108830,"requested by cenre management for load in, siged off",client_requested
S106222,"scrubber broke down, had to do the floor manually",equipment_failure
S105604,"ndlovu absent, took her rounds as well",absence_cover
S104081,"no replacement sent, ngicela sort this out",absence_cover
S107132,stood in for Motaug,routine
S104538,ok,blank
S106341,"double duty today, sibiya on family responsibility leave",absence_cover
S107889,"additional cover requested by site manager, signed off",client_requested
S101533,"gate motor failed, manned it by hand till 06h00",equipment_failure
S103759,"client wanted extra man on the gate for the event, approved",client_requested
S105298,nothing to report,routine
S104929,"uMolefe akezanga namhlanje, ngimele yena",absence_cover
S103561,"toook motaung shift as well, 2 posts 1 guard",routine
S106152,no issues on site,routine
S103404,"took Dlamini shiift as well, 2 psots 1 guard",absence_cover
S108615,wyk off sick. again. covered..,absence_cover
S100880,"Ndlovu absent, took her rounds as well",absence_cover
S106530,shift handover delayed by 25 min,late_handover
S107460,"stocktake ran over, client asked us to remain, they know they pay for it..",client_requested
S105794,Covered for Sithole again - 3rd time this month,absence_cover
S108813,Client asked for extra patrol after the brea-kin Tuesday,client_requested
S105097,"still on site, relief was suppose to come 06:00",absence_cover
S104127,"client asked us to stay for the delivery, ok'd by centre mgmt..",client_requested
S107343,"umabaso akezanga namhlanje, ngimele yena..",absence_cover
S107062,"lift out of order, everything carried up stairs, took long",equipment_failure
S100273,Covering for Molefe - booked off sick,absence_cover
S108901,fine,blank
S108349,klieent het ekstra ure gevra vir stocktake,client_requested
S107147,"machine down again, took twice as long..",equipment_failure
S100281,"requested by centre management for load in, signed off !",client_requested
S100538,"client asked us to stay for the delivery, ok'd by centre mgmt..",client_requested
S106516,"handover late again, keys missing..",late_handover
S108299,no issues on site,routine
S100596,shift handover delayed by 45 min,late_handover
S102082,"covering Ndlovu post, no show no call",absence_cover
S104102,"usibiya akezanga namhlanje, ngimele yena..",absence_cover
S100691,"machine down again, took twice as long",equipment_failure
S104098,fine,blank
S105612,"Botha absent, took her rounds as well..",absence_cover
S101811,Next shifft guard did not pitch. Had to cover.,absence_cover
S100381,"still on site, relief was supose to come six",absence_cover
S108015,"COVERING SIBIYA POST, NO SHOW NO CALL",absence_cover
S106575,"took Mthembu shift as well, 2 possts 1 guard",absence_cover
S104461,no incidents,absence_cover
S109344,motaung off sick. again. covered.,absence_cover
S105742,"Motaung absent, took her rounds as well",absence_cover
S107902,"next shift akafikanga, ngihlale kuze kube 06h00",absence_cover
S108847,"reequested by centre management for load in, signed off..",client_requested
S109070,"gedek vir Wyk, siek gemeld",absence_cover
S105652,"handover late agn, keys missing",late_handover
S108189,Client requested deep clean before the audit - approved..,client_requested
S101786,"handover late agian, keys missing",late_handover
S107322,"client says stay till 06h00, dont know if office apprved",client_requested
S108597,"handover late an, keys missing..",late_handover
S101542,"relief never arrived, stayed on till 06:00",absence_cover
S102467,sharp,blank
S101960,"requested by centre management for load in, signed off",client_requested
S103581,extra hrs approved by client for the event setup,client_requested
S100291,fine,blank
S100640,quiet shift,routine
S103417,stood in for maluleke,routine
S103787,"generator fault, stayed to monitor",equipment_failure
S106663,"buffer machine kaput, did the floor by hand",equipment_failure
S109355,no incidents,absence_cover
S101494,all quiet,routine
S106413,double shift beccause relief never pitched,absence_cover
S102366,"nxet shift akafikanga, ngihlale kuze kube 06:00",absence_cover
S109381,"scrubber broke down, had to do the floor manually",equipment_failure
S105820,extra hrs approved by client for the event setup,client_requested
S103804,all fine,blank
S100567,clint requested deep clean before the audit - approved,client_requested
S107814,"scrubber broke down, had to do the floor manually !",equipment_failure
S106214,double shift because relief never pitched,absence_cover
S104104,"client asked us to saty for the delivery, ok'd by centre mgmt !",client_requested
S108438,stood in for Fuorie..,routine
S106101,"aflos het nie opgedaag nie, mooes aanbly",absence_cover
S101900,"extra patrol per client email, approved by office",client_requested
S101758,Client requested deep clean before the audit - approved,client_requested
S103750,"gate motor failed, manned it by hand till six",equipment_failure
S104210,"Tshabalala didnt come in, covered the post..",absence_cover
S102428,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested
S101589,"conntrol room says relief coming, nobody came",absence_cover
S108459,"scrubber broe down, had to do the floor manually",equipment_failure
S106458,"client says stay till 6am, dont know if office approved",client_requested
S104579,"handover late agn, keys missing",late_handover
S102522,"client says stay till 06:00, dont know if office approved",client_requested
S101853,"client says stay till 6, dont know if office approved",client_requested
S101531,Covered for Wyk again - 3rd time this month,absence_cover
S101187,,blank
S107895,"still on siet, relief was suppose to come 06:00..",absence_cover
S106397,client signed for the extra hrs but real reason is relief no show agn,absence_cover
S106711,ntr,blank
S103587,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S100408,ok,blank
S106940,"Dlmini asent, took her rounds as well",absence_cover
S106816,no relief. stayed. someone must please sort the rooster,absence_cover
S100299,"waited for relief, nobody came through",late_handover
S100549,"requested by centre management for load in, signed off",client_requested
S101396,"uMolefe akezanga namhlanje, ngimele yena..",absence_cover
S100266,klient het ekstra ure gevra vir stocktake,client_requested
S106166,"double duty today, Fourie on family responsibility leave",absence_cover
S107510,"covering Mahlangu post, no show no call",absence_cover
S106069,"gate motor failed, manned it by hand till 0h600",equipment_failure
S107921,extra hours approved by client for the event setup,client_requested
S100277,shift handover delayed by 20 min,late_handover
S100712,adams off sick. again. covered.,absence_cover
S104567,as per normal,routine
S100797,ok,blank
S108503,sharp,blank
S106863,no issues on site,routine
S105139,Next shift guard did not pitch. Had to cover.,absence_cover
S108280,stood in for sibiya,absence_cover
S109124,Clieent requested deep clean before the audit - approved,client_requested
S106093,"waited for relief, nobody came through",late_handover
S106268,as per normal,routine
S105124,double shift because relief never pitched,absence_cover
S102948,"relief only arrived six, stayed until then..",absence_cover
S101081,nothing to report,routine
S105625,"additional cover requested by site manager, signed off",client_requested
S104037,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S105960,"radebe absent, took her rounds as well",absence_cover
S100537,Covering for Mavuso - booked off sick..,absence_cover
S109200,ntr,blank
S102385,stood in for Naidoo,absence_cover
S101042,"uNdlovu akezanga namhlanje, ngimele yean",absence_cover
S108254,Covering for Fourie - booked off siick,absence_cover
S106011,"extra patrol per client email, approved by office",client_requested
S101573,"uNkosi akezanga namhlanje, ngimele yeena",absence_cover
S105696,"uNkosi akezanga namhlanje, ngimele yena",absence_cover
S103370,"coovering Baloyi post, no show no call",absence_cover
S100181,"still on sitee, relief was suppose to come 6am",absence_cover
S108268,Radebe off sikc. again. cvered..,absence_cover
S105572,fine,blank
S103808,"coverign Mavuso post, no show no call",absence_cover
S101817,double shift because relief never pitched,absence_cover
S108371,.,blank
S108540,"next shift akafikanga, ngihlale kuze kube 06h00",absence_cover
S106935,"stocktake ran over, client asked us to remain, they knnow they pay for it",client_requested
S109156,"generator fault, stayed to monitor",equipment_failure
S100726,"gate motor failed, manned it by hand till six",equipment_failure
S103382,"waited for relief, nobody came through",late_handover
S102640,"machine dowwn aggn, took twice as long",equipment_failure
S103033,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S109286,"client wanted extra man on the gate for the event, approved",client_requested
S103604,stood in for Mokoena,absence_cover
S100052,Client requested deep clean before the audit - approved,client_requested
S107154,sharp,blank
S107291,extra hrs approved by client for the event setup,client_requested
S106495,"client wanted extra man on the gate for the event, approved..",client_requested
S105669,,blank
S106182,all quiet,routine
S103440,"generator fault, stayed to monitor..",equipment_failure
S100516,"double duy today, adams on family responsibility leave",absence_cover
S105883,-,blank
S100363,"generator fault, stayed to monitor..",equipment_failure
S106025,"client says stay till six, dont know if office approved",client_requested
S103703,doouble shift bc relief never pitched,absence_cover
S103757,centre manager requested additional cover for stocktake,client_requested
S101612,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S102247,"waited 20 min for handover, OB book not signed",late_handover
S109254,"client says stay till six, dont know if office approved..",client_requested
S101501,"late handover, waiting on paperwork",late_handover
S107309,no incidents,absence_cover
S102584,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S100200,"no replacement sent, ngicela sort this out",absence_cover
S103476,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY",equipment_failure
S108439,"lift out of order, everything carried up stairs, took lng",routine
S108057,"double duty today, Sithole on family responsibility leave !",absence_cover
S108088,"masjien is stkkend, alles met die hand geddoen",equipment_failure
S103864,ok,blank
S101330,akukho lutho,routine
